Ticker,Description,Price,Change %,Change,Bid,Ask,High,Low,Technical Rating
AED / AUD,阿联酋迪拉姆 / 澳元,0.43391,0.272687357,0.00118,0.43391,0.43471,0.43431,0.4328,Neutral
AED / CAD,阿联酋迪拉姆 / 加拿大元,0.39001,0.100097531,0.00039,0.39001,0.39081,0.39001,0.38922,Neutral
AED / CHF,阿联酋迪拉姆 / 瑞士法郎,0.24528,0.138809504,0.00034,0.24528,0.24608,0.24531,0.245,Neutral
AED / EUR,阿联酋迪拉姆 / 欧元,0.26174,0.107090951,0.00028,0.26174,0.26214,0.26182,0.26146,Buy
AED / GBP,阿联酋迪拉姆 / 英镑,0.21745,0.059819621,0.00013,0.21745,0.21825,0.21756,0.21727,Neutral
AED / HKD,阿联酋迪拉姆 / 港元,2.1161,0.0,0.0,2.1161,2.1241,2.1162,2.1158,Neutral
AED / INR,阿联酋迪拉姆 / 印度卢比,23.784,0.202224469,0.048,23.784,23.864,23.797,23.738,Strong Buy
AED / JPY,阿联酋迪拉姆 / 日元,41.419,-0.296085889,-0.123,41.419,41.459,41.547,41.363,Strong Sell
AED / KRW,阿联酋迪拉姆 / 韩元,393.99,0.364275525,1.43,393.99,394.79,394.25,392.9,Buy
AED / KWD,阿联酋迪拉姆 / 科威特第纳尔,0.083928,-0.249589959,-0.00021,0.083928,0.084008,0.084134,0.083928,Neutral
AED / LKR,阿联酋迪拉姆 / 斯里兰卡卢比,81.235,-0.011077741,-0.009,81.235,81.315,81.277,81.235,Buy
AED / MAD,阿联酋迪拉姆 / 摩洛哥迪拉姆,2.7241,0.147053417,0.004,2.7241,2.7321,2.7245,2.7224,Buy
AED / MUR,阿联酋迪拉姆 / 毛里求斯卢比,12.6765,-0.219608954,-0.0279,12.6765,12.6845,12.7101,12.6765,Sell
AED / NOK,阿联酋迪拉姆 / 挪威克朗,3.0568,0.163837735,0.005,3.0568,3.0648,3.0569,3.0534,Sell
AED / NZD,阿联酋迪拉姆 / 新西兰元,0.47951,0.234118606,0.00112,0.47951,0.48031,0.47975,0.47875,Neutral
AED / OMR,阿联酋迪拉姆 / 阿曼里亚尔,0.10441,0.0,0.0,0.10441,0.10521,0.10443,0.10441,Buy
AED / PKR,阿联酋迪拉姆 / 巴基斯坦卢比,75.894,-0.005270231,-0.004,75.894,75.934,75.924,75.894,Buy
AED / QAR,阿联酋迪拉姆 / 卡塔尔里亚尔,0.9871,0.0,0.0,0.9871,0.9951,0.9874,0.9871,Sell
AED / SAR,阿联酋迪拉姆 / 沙特里亚尔,1.0171,0.078716914,0.0008,1.0171,1.0251,1.0171,1.0171,Sell
AED / SEK,阿联酋迪拉姆 / 瑞典克朗,2.9682,0.131565631,0.0039,2.9682,2.9762,2.9694,2.9649,Sell
AED / SGD,阿联酋迪拉姆 / 新加坡元,0.3672,0.114510061,0.00042,0.3672,0.368,0.36723,0.36663,Sell
AED / TRY,阿联酋迪拉姆 / 土耳其里拉,9.77744,0.031511015,0.00308,9.77744,9.77824,9.7813,9.76892,Buy
AED / USD,阿联酋迪拉姆 / 美元,0.27183,-0.007356998,-2e-05,0.27183,0.27263,0.27185,0.27183,Strong Sell
AED / ZAR,阿联酋迪拉姆 / 南非兰特,5.0529,0.015834999,0.0008,5.0529,5.0569,5.0552,5.0434,Neutral
AFN / USD,阿富汗尼 / 美元,0.013472,0.0,0.0,0.013472,0.013552,0.013472,0.013472,Neutral
ALL / USD,阿尔巴尼亚列克 / 美元,0.010511,0.815269519,8.5e-05,0.010511,0.010519,0.010511,0.010511,Sell
ANG / EUR,荷属安的列斯盾 / 欧元,0.5379,0.111669458,0.0006,0.5379,0.5387,0.538,0.5373,Neutral
ANG / SRD,荷属安的列斯盾 / 苏里南元,19.6549,0.0,0.0,19.6549,19.6569,19.6549,19.6549,Strong Buy
ANG / USD,荷属安的列斯盾 / 美元,0.5594,0.0,0.0,0.5594,0.55948,0.5594,0.5594,Sell
ANG / SRD,荷属安的列斯盾 / 苏里南元,19.6549,0.0,0.0,19.6549,19.6569,19.6549,19.6549,Strong Buy
ANG / USD,荷属安的列斯盾 / 美元,0.5594,0.0,0.0,0.5594,0.55948,0.5594,0.5594,Sell
ANG / ZAR,荷属安的列斯盾 / 南非兰特,10.386,0.022150101,0.0023,10.386,10.39,10.3906,10.3638,Neutral
AOA / USD,安哥拉宽扎 / 美国美元,0.001056,0.0,0.0,0.001056,0.001136,0.001056,0.001056,Neutral
ARS / BRL,阿根廷比索 / 巴西雷亚尔,0.00531,0.188679245,1e-05,0.00531,0.00571,0.00531,0.0053,Sell
ARS / EUR,阿根廷比索 / 欧元,0.00087,0.0,0.0,0.00087,0.00095,0.00088,0.00087,Strong Sell
ARS / GBP,阿根廷比索 / 英镑,0.000755,0.0,0.0,0.000755,0.000763,0.000756,0.000755,Sell
ARS / JPY,阿根廷比索 / 日元,0.142,-0.699300699,-0.001,0.142,0.146,0.143,0.142,Strong Sell
ARS / USD,阿根廷比索 / 美元,0.00094849,-0.006325444,-6e-08,0.00094849,0.00094929,0.00094883,0.00094849,Sell
AUD / AED,澳元 / 阿联酋迪拉姆,2.2985,-0.260360165,-0.006,2.2985,2.3065,2.3055,2.2985,Neutral
AUD / AMD,澳元 / 亚美尼亚德拉姆,248.75,1.109665881,2.73,248.75,249.75,248.75,248.75,Buy
AUD / ANG,澳元 / 荷属安的列斯盾,1.1164,-0.285816363,-0.0032,1.1164,1.1244,1.1195,1.1164,Neutral
AUD / ARS,澳元 / 阿根廷比索,660.5764,-0.258768739,-1.7138,660.5764,660.5804,662.5682,659.9639,Buy
AUD / AWG,澳元 / 阿鲁巴弗罗林,1.1325,-0.28176455,-0.0032,1.1325,1.1365,1.1356,1.1325,Neutral
AUD / BAM,澳元 / 波斯尼亚可兑换马尔卡,1.140871,0.252548996,0.002874,1.140871,1.211441,1.140871,1.140871,Neutral
AUD / BBD,澳元 / 巴巴多斯元,1.2516,-0.270916335,-0.0034,1.2516,1.2556,1.2554,1.2516,Neutral
AUD / BHD,澳元 / 巴林第纳尔,0.2343,-0.29787234,-0.0007,0.2343,0.2383,0.235,0.2343,Neutral
AUD / BMD,澳元 / 百慕大元,0.6248,-0.271348763,-0.0017,0.6248,0.6288,0.6267,0.6248,Neutral
AUD / BOB,澳元 / 玻利维亚诺,4.345,0.052962443,0.0023,4.345,4.349,4.3569,4.3449,Buy
AUD / BRL,澳元 / 巴西雷亚尔,3.6367,-0.14826611,-0.0054,3.6367,3.6407,3.647,3.6367,Sell
AUD / BSD,澳元 / 巴哈马元,0.6264,-0.270657539,-0.0017,0.6264,0.6304,0.6281,0.6264,Neutral
AUD / BWP,澳元 / 博茨瓦纳普拉,8.7219,0.394815599,0.0343,8.7219,8.7299,8.7219,8.7164,Buy
AUD / BZD,澳元 / 伯利兹元,1.2628,-0.276395799,-0.0035,1.2628,1.2668,1.2663,1.2628,Neutral
AUD / CAD,澳元 / 加元,0.89877,-0.078934495,-0.00071,0.89869,0.89888,0.89989,0.8975403,Neutral
AUD / CHF,澳元 / 瑞士法郎,0.56558,-0.165925298,-0.00094,0.56557,0.56577,0.56671,0.5651,Sell
AUD / CLP,澳元 / 智利比索,610.33,0.001638485,0.01,610.33,610.73,610.37,610.33,Sell
