Ticker,Description,Price,Change %,Change,Bid,Ask,High,Low,Technical Rating
AUD / AED,澳元 / 阿联酋迪拉姆,2.2985,-0.260360165,-0.006,2.2985,2.3065,2.3055,2.2985,Neutral
AUD / AMD,澳元 / 亚美尼亚德拉姆,248.75,1.109665881,2.73,248.75,249.75,248.75,248.75,Buy
AUD / ANG,澳元 / 荷属安的列斯盾,1.1164,-0.285816363,-0.0032,1.1164,1.1244,1.1195,1.1164,Neutral
AUD / ARS,澳元 / 阿根廷比索,660.5764,-0.258768739,-1.7138,660.5764,660.5804,662.5682,659.9639,Buy
AUD / AWG,澳元 / 阿鲁巴弗罗林,1.1325,-0.28176455,-0.0032,1.1325,1.1365,1.1356,1.1325,Neutral
AUD / BAM,澳元 / 波斯尼亚可兑换马尔卡,1.140871,0.252548996,0.002874,1.140871,1.211441,1.140871,1.140871,Neutral
AUD / BBD,澳元 / 巴巴多斯元,1.2516,-0.270916335,-0.0034,1.2516,1.2556,1.2554,1.2516,Neutral
AUD / BHD,澳元 / 巴林第纳尔,0.2343,-0.29787234,-0.0007,0.2343,0.2383,0.235,0.2343,Neutral
AUD / BMD,澳元 / 百慕大元,0.6248,-0.271348763,-0.0017,0.6248,0.6288,0.6267,0.6248,Neutral
AUD / BOB,澳元 / 玻利维亚诺,4.345,0.052962443,0.0023,4.345,4.349,4.3569,4.3449,Buy
AUD / BRL,澳元 / 巴西雷亚尔,3.6367,-0.14826611,-0.0054,3.6367,3.6407,3.647,3.6367,Sell
AUD / BSD,澳元 / 巴哈马元,0.6264,-0.270657539,-0.0017,0.6264,0.6304,0.6281,0.6264,Neutral
AUD / BWP,澳元 / 博茨瓦纳普拉,8.7219,0.394815599,0.0343,8.7219,8.7299,8.7219,8.7164,Buy
AUD / BZD,澳元 / 伯利兹元,1.2628,-0.276395799,-0.0035,1.2628,1.2668,1.2663,1.2628,Neutral
AUD / CAD,澳元 / 加元,0.89877,-0.078934495,-0.00071,0.89869,0.89888,0.89989,0.8975403,Neutral
AUD / CHF,澳元 / 瑞士法郎,0.56558,-0.165925298,-0.00094,0.56557,0.56577,0.56671,0.5651,Sell
AUD / CLP,澳元 / 智利比索,610.33,0.001638485,0.01,610.33,610.73,610.37,610.33,Sell
AUD / CNY,澳元 / 人民币,4.5652,-0.10721866,-0.0049,4.5652,4.5668,4.5724,4.5613,Neutral
AUD / COP,澳元 / 哥伦比亚比索,2614.6,-0.282227307,-7.4,2614.6,2618.6,2622.7,2614.6,Sell
AUD / CRC,澳元 / 哥斯达黎加科朗,319.99,-0.277362254,-0.89,319.99,320.39,320.86,319.99,Neutral
AUD / CZK,澳元 / 捷克克朗,15.1782,-0.064524625,-0.0098,15.1779,15.1926,15.2083,15.1782,Buy
AUD / DKK,澳元 / 丹麦克朗,4.4996,-0.139816685,-0.0063,4.4996,4.5005,4.5088,4.4954,Neutral
AUD / DOP,澳元 / 多米尼加比索,38.805,-0.264727048,-0.103,38.805,38.845,38.911,38.805,Buy
AUD / EGP,澳元 / 埃及镑,31.5386,-0.254277491,-0.0804,31.5386,31.5426,31.6346,31.5154,Neutral
AUD / ERN,澳元 / 厄立特里亚纳克法,9.456,-0.316255534,-0.03,9.456,9.536,9.482,9.456,Neutral
AUD / EUR,澳元 / 欧元,0.60299,-0.163912712,-0.00099,0.603,0.60333,0.6044,0.6027,Neutral
AUD / FJD,澳元 / 斐济元,1.4472,-0.144897537,-0.0021,1.4472,1.4512,1.4618,1.4472,Sell
AUD / GBP,澳元 / 英镑,0.5012,-0.25076623,-0.00126,0.5012,0.502,0.50246,0.5012,Strong Sell
AUD / GHS,澳元 / 加纳塞地,9.6506,-0.27796435,-0.0269,9.6506,9.6586,9.6771,9.6496,Neutral
