Ticker,Description,Price,Change %,Change,Bid,Ask,High,Low,Technical Rating
CNY / AMD,人民币 / 亚美尼亚德拉姆,54.531,-0.416369912,-0.228,54.531,54.531,54.531,54.531,Sell
CNY / AUD,人民币 / 澳元,0.215,0.0,0.0,0.215,0.223,0.215,0.215,Neutral
CNY / BAM,人民币 / 波斯尼亚可兑换马尔卡,0.253147,-0.591002623,-0.001505,0.253147,0.268805,0.253147,0.253147,Buy
CNY / BND,人民币 / 文莱元,0.18516,-0.03239391,-6e-05,0.18516,0.18556,0.18531,0.18516,Sell
CNY / BRL,人民币 / 巴西雷亚尔,0.79673,-0.201668462,-0.00161,0.79673,0.79713,0.79799,0.79673,Sell
CNY / BWP,人民币 / 博茨瓦纳普拉,1.9086,-0.92914612,-0.0179,1.9086,1.9166,1.9091,1.9086,Neutral
CNY / CAD,人民币 / 加元,0.1965,-0.0508647,-0.0001,0.1965,0.1973,0.1966,0.1964,Neutral
CNY / CHF,人民币 / 瑞士法郎,0.1235,0.0,0.0,0.1235,0.1243,0.1236,0.1235,Neutral
CNY / EUR,人民币 / 欧元,0.13205,-0.060546432,-8e-05,0.13205,0.13213,0.13218,0.13205,Neutral
CNY / GBP,人民币 / 英镑,0.10982,-0.100063677,-0.00011,0.10982,0.1099,0.10994,0.10982,Sell
CNY / GHS,人民币 / 加纳塞地,2.1105,-0.170285228,-0.0036,2.1105,2.1185,2.1141,2.1105,Buy
CNY / HKD,人民币 / 港元,1.0687,-0.158819133,-0.0017,1.0687,1.0695,1.0705,1.0687,Sell
CNY / IDR,人民币 / 印尼盾,2241.7,0.125061414,2.8,2241.7,2242.5,2242.6,2238.4,Strong Buy
CNY / INR,人民币 / 印度卢比,12.0133,0.034140492,0.0041,12.0133,12.0141,12.0198,12.0074,Strong Buy
CNY / JPY,人民币 / 日元,20.877,-0.457731369,-0.096,20.877,20.917,20.962,20.877,Strong Sell
CNY / KHR,人民币 / 柬埔寨瑞尔,550.57,-0.170441152,-0.94,550.57,550.97,551.75,550.57,Sell
CNY / KRW,人民币 / 韩元,198.876,0.19648741,0.39,198.876,198.884,199.031,198.373,Buy
CNY / LAK,人民币 / 老挝基普,2968.0,-0.171538125,-5.1,2968.0,2972.0,2973.1,2968.0,Strong Sell
CNY / LKR,人民币 / 斯里兰卡卢比,40.945,-0.158497927,-0.065,40.945,41.025,40.977,40.945,Buy
CNY / MMK,人民币 / 缅元,287.91,-0.46326707,-1.34,287.91,288.31,288.4,287.91,Sell
CNY / MOP,人民币 / 澳门元,1.0958,0.329609962,0.0036,1.0958,1.1058,1.0958,1.0958,Buy
CNY / MYR,人民币 / 马来西亚林吉特,0.60777,-0.055910937,-0.00034,0.60777,0.60785,0.60811,0.60686,Sell
CNY / NZD,人民币 / 新西兰元,0.238,0.0,0.0,0.238,0.246,0.238,0.238,Neutral
CNY / PHP,人民币 / 菲律宾比索,7.9756,0.18716947,0.0149,7.9756,7.9764,7.979,7.9607,Sell
CNY / PLN,人民币 / 波兰兹罗提,0.55514,0.036039932,0.0002,0.55514,0.55594,0.55545,0.55433,Sell
CNY / RSD,人民币 / 塞尔维亚第纳尔,15.4449,-1.212070818,-0.1895,15.4449,15.5379,15.4449,15.4449,Neutral
CNY / RUB,人民币 / 俄罗斯卢布,13.4488,-0.173691008,-0.0234,13.4488,13.4568,13.4725,13.3865,Sell
CNY / SGD,人民币 / 新加坡元,0.185,-0.054024851,-0.0001,0.185,0.1858,0.1851,0.185,Sell
CNY / THB,人民币 / 泰铢,4.617,0.03900156,0.0018,4.617,4.6178,4.6234,4.6111,Sell
CNY / TWD,人民币 / 新台币,4.5139,-0.201193898,-0.0091,4.5139,4.5147,4.5207,4.5096,Buy
CNY / USD,人民币 / 美元,0.13724,-0.464171744,-0.00064,0.13724,0.13732,0.13747,0.13724,Sell
CNY / VND,人民币 / 越南盾,3450.6,-0.170692897,-5.9,3450.6,3454.6,3456.5,3450.6,Sell
CNY / ZAR,人民币 / 南非兰特,2.5482,-0.184104352,-0.0047,2.5482,2.549,2.5518,2.5474,Neutral
