Ticker,Description,Price,Change %,Change,Bid,Ask,High,Low,Technical Rating
EUR / AED,欧元 / 阿联酋迪拉姆,3.8166,-0.091620638,-0.0035,3.8166,3.8186,3.8212,3.8166,Sell
EUR / AFN,欧元 / 阿富汗尼,76.905,-0.114296105,-0.088,76.905,76.925,77.001,76.904,Buy
EUR / ALL,欧元 / 阿尔巴尼亚列克,97.93,-0.132571895,-0.13,97.93,99.93,97.93,97.93,Buy
EUR / AMD,欧元 / 亚美尼亚德拉姆,412.13,0.14336395,0.59,412.13,412.93,413.16,412.13,Sell
EUR / ANG,欧元 / 荷属安的列斯盾,1.8567,-0.112976114,-0.0021,1.8567,1.8587,1.859,1.8567,Sell
EUR / AOA,欧元 / 安哥拉宽扎,950.248,0.375623751,3.556,950.248,950.268,950.349,949.945,Buy
EUR / ARS,欧元 / 阿根廷重量,1095.2598,-0.089970674,-0.9863,1095.2598,1095.2618,1096.4299,1094.9562,Buy
EUR / AUD,欧元 / 澳元,1.6578,0.177658533,0.00294,1.65776,1.65808,1.65954,1.65431,Neutral
EUR / AWG,欧元 / 阿鲁巴弗罗林,1.8801,-0.116878287,-0.0022,1.8801,1.8821,1.8824,1.8801,Neutral
EUR / AZN,欧元 / 阿塞拜疆马纳特,1.7633,0.788796799,0.0138,1.7633,1.7641,1.7636,1.7633,Sell
EUR / BAM,欧元 / 波斯尼亚可兑换马尔卡,1.98387,1.803225691,0.03514,1.96673,1.96681,1.98543,1.95583,Strong Buy
EUR / BBD,欧元 / 巴巴多斯元,2.0776,-0.096172341,-0.002,2.0776,2.0796,2.0802,2.0776,Sell
EUR / BDT,欧元 / 孟加拉塔卡,126.528,-0.113679424,-0.144,126.528,126.548,126.685,126.259,Buy
EUR / BGN,欧元 / 保加利亚列弗,1.95583,0,0,1.95583,1.95583,1.95583,1.95583,Neutral
EUR / BHD,欧元 / 巴林第纳尔,0.39171,-0.114749082,-0.00045,0.39171,0.39191,0.3922,0.39171,Sell
EUR / BIF,欧元 / 布隆迪法郎,3027.05,-0.114501802,-3.47,3027.05,3027.25,3030.82,3026.41,Neutral
EUR / BMD,欧元 / 百慕大元,1.0383,-0.096218609,-0.001,1.0383,1.0403,1.0396,1.0383,Sell
EUR / BND,欧元 / 文莱元,1.4022,0.014265335,0.0002,1.4022,1.4042,1.4026,1.4022,Sell
EUR / BOB,欧元 / 玻利维亚诺,7.11,0.282087447,0.02,7.11,7.31,7.12,7.11,Buy
EUR / BRL,欧元 / 巴西雷亚尔,6.0322,0.021555655,0.0013,6.0322,6.0342,6.0384,6.0311,Sell
EUR / BSD,欧元 / 巴哈马元,1.0409,-0.115152097,-0.0012,1.0409,1.0429,1.0422,1.0409,Neutral
EUR / BWP,欧元 / 博茨瓦纳普拉,14.4601,0.04566368,0.0066,14.4601,14.4621,14.4719,14.4601,Neutral
EUR / BYN,欧元 / 白俄罗斯卢布,3.4026,-0.11448701,-0.0039,3.4026,3.4046,3.4069,3.4026,Sell
EUR / BZD,欧元 / 伯利兹元,2.0961,-0.114367405,-0.0024,2.0961,2.0981,2.0987,2.0961,Sell
EUR / CAD,欧元 / 加元,1.48982,0.111547145,0.00166,1.49008,1.49027,1.4903,1.4877,Sell
EUR / CDF,欧元 / 刚果法郎,2963.73,-0.114252204,-3.39,2963.73,2963.93,2967.42,2963.1,Neutral
EUR / CHF,欧元 / 瑞士法郎,0.93771,-0.020258023,-0.00019,0.93773,0.93792,0.93792,0.93717,Sell
EUR / CLP,欧元 / 智利比索,1010.75,0.0286998,0.29,1010.75,1010.95,1010.75,1010.57,Sell
EUR / CNY,欧元 / 人民币,7.5695,0.055516635,0.0042,7.5695,7.5715,7.5706,7.5642,Neutral
EUR / COP,欧元 / 哥伦比亚比索,4338.34,-0.114198881,-4.96,4338.34,4338.54,4344.75,4337.33,Sell
EUR / CRC,欧元 / 哥斯达黎加科朗,530.79,-0.112911421,-0.6,530.79,530.99,531.45,530.79,Buy
