Ticker,Description,Price,Change %,Change,Bid,Ask,High,Low,Technical Rating
AUD / HKD,澳元 / 港元,4.879,-0.253506154,-0.0124,4.8801,4.8809,4.8954,4.8766,Neutral
AUD / SGD,澳元 / 新加坡元,0.84618,-0.0779368,-0.00066,0.84619,0.84635,0.84779,0.84545,Sell
CAD / HKD,加元 / 港元,5.42829,-0.189754367,-0.01032,5.42829,5.42901,5.44084,5.42829,Sell
CAD / SGD,加元 / 新加坡元,0.9411,-0.063714559,-0.0006,0.9411,0.9419,0.942,0.9411,Sell
CHF / DKK,瑞士法郎 / 丹麦克朗,7.9535,0.022636669,0.0018,7.9535,7.9557,7.9594,7.9532,Strong Buy
CHF / HKD,瑞士法郎 / 港元,8.6277,-0.083382552,-0.0072,8.6277,8.6285,8.6435,8.6277,Neutral
CHF / HUF,瑞士法郎 / 匈牙利福林,433.15,0.122509362,0.53,433.15,433.35,433.39,432.73,Neutral
CHF / NOK,瑞士法郎 / 挪威克朗,12.4581,0.112744464,0.01403,12.453,12.463,12.4734,12.4432,Neutral
CHF / PLN,瑞士法郎 / 波兰兹罗提,4.482,0.181050091,0.0081,4.4826,4.4854,4.4852,4.4733,Sell
CHF / SEK,瑞士法郎 / 瑞典克朗,12.0936,0.046326936,0.0056,12.0944,12.1032,12.1084,12.0936,Sell
CHF / SGD,瑞士法郎 / 新加坡元,1.49602,0.12515477,0.00187,1.496,1.49641,1.49699,1.49289,Sell
CHF / TRY,瑞士法郎 / 土耳其里拉,39.793,-0.042953924,-0.0171,39.793,39.795,39.8682,39.7675,Buy
CHF / ZAR,瑞士法郎 / 南非兰特,20.5634,0.080304085,0.0165,20.5634,20.5799,20.5911,20.5436,Buy
EUR / CZK,欧元 / 捷克克朗,25.164,0.023849273,0.006,25.156,25.1896,25.189,25.162,Buy
EUR / DKK,欧元 / 丹麦克朗,7.4599,-0.013403209,-0.001,7.45982,7.46139,7.4623,7.4597,Sell
EUR / HKD,欧元 / 港元,8.0903,-0.095085206,-0.0077,8.0903,8.0915,8.1026,8.0903,Sell
EUR / HUF,欧元 / 匈牙利福林,406.12,0.05518655,0.224,405.84,406.84,406.16,405.83,Sell
EUR / MXN,欧元 / 墨西哥比索,21.3854,-0.098101502,-0.021,21.384,21.3952,21.4356,21.3854,Buy
EUR / NOK,欧元 / 挪威克朗,11.6792,0.077033747,0.00899,11.6795,11.6882,11.69619,11.6663,Sell
EUR / PLN,欧元 / 波兰兹罗提,4.2036,0.092863776,0.0039,4.2032,4.206,4.2048,4.1947,Sell
EUR / RON,欧元 / 罗马尼亚列伊,4.9751,0,0,4.9751,4.9771,4.9763,4.9724,Buy
EUR / RUB,欧元 / 俄罗斯卢布,101.814,-0.117723233,-0.12,101.814,101.834,101.95,101.324,Sell
EUR / SEK,欧元 / 瑞典克朗,11.34461,0.011813172,0.00134,11.34394,11.3497,11.355,11.3435,Sell
EUR / SGD,欧元 / 新加坡元,1.4028,0.034228992,0.00048,1.4032,1.4044,1.4035,1.40221,Sell
EUR / TRY,欧元 / 土耳其里拉,37.4015,0.114270235,0.04269,37.37726,37.45485,37.4565,37.2923,Buy
EUR / ZAR,欧元 / 南非兰特,19.28521,0.041551678,0.00801,19.28549,19.29479,19.3011,19.2703,Sell
GBP / DKK,英镑 / 丹麦克朗,8.9694,0.042384224,0.0038,8.9692,8.972,8.9714,8.9646,Buy
GBP / HKD,英镑 / 港元,9.727,-0.082177709,-0.008,9.727,9.731,9.739,9.727,Neutral
GBP / HUF,英镑 / 匈牙利福林,487.746,0.042252943,0.206,487.795,489.363,488.54,487.746,Sell
GBP / NOK,英镑 / 挪威克朗,14.0412,0.095524601,0.0134,14.0432,14.054,14.0564,14.0261,Neutral
GBP / PLN,英镑 / 波兰兹罗提,5.0532,0.198286802,0.01,5.0536,5.058,5.0559,5.03754,Sell
GBP / RON,英镑 / 罗马尼亚列伊,5.9821,0.026753616,0.0016,5.9821,5.9841,5.9828,5.9789,Buy
GBP / SEK,英镑 / 瑞典克朗,13.63959,0.06448631,0.00879,13.6376,13.648,13.6464,13.637,Sell
GBP / SGD,英镑 / 新加坡元,1.6869,0.092562925,0.00156,1.68686,1.68771,1.68718,1.68533,Sell
GBP / TRY,英镑 / 土耳其里拉,44.9494,0.19129102,0.08582,44.9494,45.0443,45.0118,44.8329,Buy
GBP / ZAR,英镑 / 南非兰特,23.19185,0.026999529,0.00626,23.19163,23.20163,23.20106,23.16426,Buy
HKD / JPY,港元 / 日元,19.55188,-0.226217212,-0.04433,19.54988,19.55086,19.61788,19.49918,Sell
MXN / JPY,墨西哥比索 / 日元,7.3934,-0.203819937,-0.0151,7.3934,7.3982,7.416,7.3777,Strong Sell
NOK / JPY,挪威克朗 / 日元,13.5321,-0.377666858,-0.0513,13.5313,13.5478,13.5951,13.5321,Strong Sell
