Ticker,Description,Price,Change %,Change,Bid,Ask,High,Low,Technical Rating
USD / AED,美元 / 阿联酋迪拉姆,3.6729,0.005445585,0.0002,3.6729,3.6738,3.6729,3.6727,Strong Buy
USD / AFN,美元 / 阿富汗尼,73.908,0,0,73.908,74.108,73.908,73.908,Neutral
USD / ALL,美元 / 阿尔巴尼亚列克,96.19,-0.01039501,-0.01,95.51,95.71,96.21,96.19,Buy
USD / AMD,美元 / 亚美尼亚德拉姆,396.08,-0.032810883,-0.13,396.08,397.08,396.08,396.08,Neutral
USD / ANG,美元 / 荷属安的列斯盾,1.785,0,0,1.785,1.79,1.785,1.785,Buy
USD / AOA,美元 / 安哥拉宽扎,912,0,0,912,912,912,912,Neutral
USD / ARS,美元 / 阿根廷比索,1053.75,0,0,1053.75,1053.755,1053.75,1053.75,Buy
USD / ATS,美元 / 奥地利先令,13.24,0.090716662,0.012,13.241,13.24,13.246,13.219,Buy
USD / AUD,美元 / 澳元,1.59508,0.264635074,0.00421,1.5949,1.5957,1.59679,1.59068,Neutral
USD / AWG,美元 / 阿鲁巴弗罗林,1.79,0,0,1.79,1.83,1.7925,1.79,Sell
USD / AZN,美元 / 阿塞拜疆马纳特,1.6995,0,0,1.6995,1.7005,1.6995,1.6995,Neutral
USD / BAM,美元 / 波斯尼亚可兑换马尔卡,1.826198,-2.815283913,-0.052902,1.8809,1.8829,1.8814,1.826198,Strong Sell
USD / BBD,美元 / 巴巴多斯元,2,0,0,2,2,2,2,Neutral
USD / BDT,美元 / 孟加拉货币,121.63,0,0,121.05,122,121.86,121.63,Buy
USD / BEF,美元 / 比利时法郎,38.81,0.103172556,0.04,38.81,38.81,38.83,38.75,Buy
USD / BGN,美元 / 保加利亚列弗,1.87664,-0.834376965,-0.01579,1.87664,1.87664,1.87664,1.87664,Sell
USD / BHD,美元 / 巴林第纳尔,0.3769,0,0,0.3769,0.3771,0.37697,0.3769,Neutral
USD / BIF,美元 / 布隆迪法郎,2897.24,0,0,2897.24,2928.24,2898.13,2897.24,Buy
USD / BMD,美元 / 百慕大元,1,0,0,1,1,1,1,Neutral
USD / BND,美元 / 文莱元,1.35,0.133511348,0.0018,1.35,1.351,1.3502,1.3481,Sell
USD / BOB,美元 / 玻利维亚诺,6.86,0,0,6.86,7.01,6.86,6.86,Strong Buy
USD / BRL,美元 / 巴西雷亚尔,5.8039,0.113846101,0.0066,5.8039,5.8059,5.8039,5.7973,Sell
USD / BSD,美元 / 巴哈马元,1,0,0,1,1.005,1,1,Buy
USD / BWP,美元 / 博茨瓦纳普拉,13.9042,-0.556429695,-0.0778,13.9042,13.9122,13.9042,13.9042,Neutral
USD / BYN,美元 / 白俄罗斯卢布,3.27,0,0,3.27,3.28,3.27,3.27,Buy
USD / BZD,美元 / 伯利兹元,2.0003,0,0,2.0003,2.0353,2.0003,2.0003,Buy
USD / CAD,美元 / 加元,1.43404,0.21734117,0.00311,1.43396,1.4341,1.43421,1.43065,Buy
USD / CDF,美元 / 刚果法郎,2846.81,0,0,2846.81,2856.81,2846.81,2846.81,Buy
